,DAEWOO,DAEWOO4,"LEGANZA, PRINCE, JEREZ",,,CAPSA,15MBI,1497596
,DAEWOO,DAEWOO4,"LEGANZA, PRINCE, JEREZ",,,ENERJET,13W75,1839632
,DAEWOO,DAEWOO5,RACER,,,CAPSA,15MBI,1497596
,DAEWOO,DAEWOO6,RACER ETI,,,ENERJET,11W63 / 13W75,1862928 - 1839632
,DAEWOO,DAEWOO7,"TICO - MATIZ, LABO ,  DAMAS",,,CAPSA,13WI,140962X
,DAEWOO,DAEWOO7,"TICO - MATIZ, LABO ,  DAMAS",,,ENERJET,11W63 / 13W75,1862928 - 1839632
,DAIHATSU,DAIHATSU1,"CHARADE II,III, IV, ",,,CAPSA,13WI,140962X
,DAIHATSU,DAIHATSU1,"CHARADE II,III, IV, ",,,ENERJET,11W63 / 13W75,1862928 - 1839632
,DAIHATSU,DAIHATSU2,"COURE I, II,III,IV,V,VI,VII,VIII",,,CAPSA,13WI,140962X
,DAIHATSU,DAIHATSU3,DELTA CHASIS 2T - V57,,,ENERJET,13S85,
,DAIHATSU,DAIHATSU3,DELTA CHASIS V118 CAM,,,CAPSA,15MBI,1497596
,DAIHATSU,DAIHATSU4,DELTAV 116,,,ENERJET,15MB90,1862936
,DAIHATSU,DAIHATSU5,GRAN MOVE G3,,,CAPSA,15MBI,1497596
,DAIHATSU,DAIHATSU5,GRAN MOVE G3,,,CAPSA,15MBI,1497596
,DAIHATSU,DAIHATSU6,"ROCKY ,  SIRION M1, M3,  FEROZA",,,ENERJET,11D56,1839608
,DAIHATSU,DAIHATSU6,"ROCKY ,  SIRION M1, M3,  FEROZA",,,ENERJET,11T56,1862901
,DAIHATSU,DAIHATSU7,"SIRION - APLAUSE, APLAUSE II",,,ENERJET,15MB90,1862936
,DAIHATSU,DAIHATSU7,"SIRION - APLAUSE, APLAUSE II",,,ENERJET,13S85  / 15M99,1839616 - 1839640
,DAIHATSU,DAIHATSU8,TERIOS,,,ENERJET,13S85  / 15M99,1839616 - 1839640
,DAIHATSU,DAIHATSU8,TERIOS,,,ENERJET,13S85  / 15M99,1839616 - 1839640
,DATSUN,DATSUN9,100  A - 120 A,,,ENERJET,13S85  / 15M99,1839616 - 1839640
,DATSUN,DATSUN10,140 J - 160 J,,,ENERJET,13S85  / 15M99,1839616 - 1839640
,DODGE,DODGE1,AVENGER,,,ENERJET,11T56 / 11D56 ,1862901 - 1839608
,DODGE,DODGE2,"CARAVAN,  GRAN CARABAN, CHALLENGER",,,CAPSA,13TODI,1634771
,DODGE,DODGE2,"CARAVAN,  GRAN CARABAN, CHALLENGER",,,CAPSA,11TOI,149760X
,DODGE,DODGE3,"DAKOTA, DURANGO",,,CAPSA,15APCGI,1409638
,DODGE,DODGE3,"DAKOTA, DURANGO",,,CAPSA,13TODI,1634771
,DODGE,DODGE4,"DAYTONA,DIPLOMAT,Intrepid,Lancer,Viper",,,CAPSA,15APCGI,1409638
