,TOYOTA,"YARIS , STARLET",,,ENERJET,11T56,1862901
,TOYOTA,CALDINA,,,ENERJET,15MB90,1862936
,TOYOTA,"COROLLA, CORONA, SPYDER",,,ENERJET,13S85  / 15M99,1839616 - 1839640
,TOYOTA,"CARINA, PICKUP, SOLARA",,,ENERJET,13S85  / 15M99,1839616 - 1839640
,TOYOTA,LAND CRUISER,,,ENERJET,13S85  / 15M99,1839616 - 1839640
,TOYOTA,RAV4,,,ENERJET,13S85  / 15M99,1839616 - 1839640
,TOYOTA,"HI-ICE, HILUX",,,ENERJET,13S85  / 15M99,1839616 - 1839640
,TOYOTA,"CAVALIER, PROBOX, TERCEL, VITZ",,,ENERJET,11T56 / 11D56 ,1862901 - 1839608
,TOYOTA,"CORSA, ESTIMA",,,CAPSA,13TODI,1634771
,TOYOTA,"YARIS , STARLET",,,CAPSA,11TOI,149760X
,TOYOTA,CALDINA,,,CAPSA,15APCGI,1409638
,TOYOTA,"COROLLA, CORONA, SPYDER",,,CAPSA,13TODI,1634771
,TOYOTA,"CARINA, PICKUP, SOLARA",,,CAPSA,15APCGI,1409638
,TOYOTA,LAND CRUISER,,,CAPSA,15APCGI,1409638
,TOYOTA,RAV4,,,CAPSA,13API,1409611
,TOYOTA,"HI-ICE, HILUX",,,CAPSA,15APCGI,1409638
,TOYOTA,AURIS,,,CAPSA,13TOI,1635220
,TOYOTA,"AVENSIS, CAVALIER",,,CAPSA,13API,1409611
,TOYOTA,"CELICA, MR2",,,CAPSA,13WI,140962X
,TOYOTA,URBAN CRUISER,,,,,
,TOYOTA,"4RUNNER, PRADO",,,CAPSA,13API,1409611
,TOYOTA,LUCIDA,,,CAPSA,13API,1409611
,HYUNDAI,SONATA ,,,ENERJET,13S85,1839616
,HYUNDAI,ACCENT,,,ENERJET,13W75,1839632
,HYUNDAI,EXCELL,,,ENERJET,13W75,1839632
,HYUNDAI,"H1, H100 BUS",,,ENERJET,15M99,1839640
,HYUNDAI,SONATA ,,,CAPSA,13API,1409611
,HYUNDAI,ACCENT,,,CAPSA,1135,1634798
,HYUNDAI,EXCELL,,,CAPSA,13W,149757X
,HYUNDAI,"H1, H100 BUS",,,CAPSA,15APCG,1497588
,HYUNDAI,"AZERA, MATRIX",,,CAPSA,10FDI,1511653
,HYUNDAI,"CHASIS, GALLOPER",,,CAPSA,15APCG,1497588
,HYUNDAI,COUPE TUBURON,,,CAPSA,1135,1634798
,HYUNDAI,ELANTRA,,,CAPSA,1135,1634798
,HYUNDAI,GENESIS,,,CAPSA,15MBI,1497596
,HYUNDAI,GRACE,,,CAPSA,15APCG,1497588
,HYUNDAI,GRACE VAN DLX7GS,,,CAPSA,15APCG,1497588
,HYUNDAI,H350,,,CAPSA,15APCG,1497588
,HYUNDAI,i 10,,,,,
,HYUNDAI,i 30,,,,,
,HYUNDAI,"PANEL,  STAREX, SANTA FE CM",,,CAPSA,15APCG,1497588
,HYUNDAI,"PORTER, PORTER SUPER",,,CAPSA,15APCG,1497588
,HYUNDAI,SCOUPE,,,CAPSA,11WI,1409603
,HYUNDAI,"SONATA I , SONATA II, SANTA FE SM",,,CAPSA,13API,1409611
,HYUNDAI,"TUCSON, VAN, TERRACAN, ",,,CAPSA,15APCGI,1409638
,HYUNDAI,VERACRUZ,,,CAPSA,13API,1409611
,DAEWOO,"TICO - MATIZ, LABO ,  DAMAS",,,ENERJET,11D56,1839608
,DAEWOO,"KORANDO 2.3, M USSO",,,ENERJET,15M99,1839640
,DAEWOO,"LEGANZA, PRINCE, JEREZ",,,ENERJET,13W75 /15MB90,1839632  -  1862936
,DAEWOO,CIELO,,,ENERJET,11W63 / 13W75,1862928 - 1839632
,DAEWOO,"ESPERO, LANOS, NUBIRA SEDAN/WAGON",,,ENERJET,11W63 / 13W75,1862928 - 1839632
,DAEWOO,"TICO - MATIZ, LABO ,  DAMAS",,,CAPSA,10FDI,1511653
,DAEWOO,"KORANDO 2.3, M USSO",,,CAPSA,15APCG,1497588
,DAEWOO,"LEGANZA, PRINCE, JEREZ",,,CAPSA,15MBI,1497596
,DAEWOO,CIELO,,,CAPSA,11WI,1409603
,DAEWOO,"ESPERO, LANOS, NUBIRA SEDAN/WAGON",,,CAPSA,13W,149757X
,DAEWOO,RACER,,,CAPSA,13WI,140962X
,DAEWOO,RACER ETI,,,CAPSA,13WI,140962X
,AUDI,"A6, A8, A8W12, ",,,ENERJET,15MB90,1862936
,AUDI,"Q5, Q7, R8, S4",,,ENERJET,15MB90,1862936
,AUDI,"A3 1.8  TURBO,  A4 2.8 , A4 , A6 2.8",,,ENERJET,11W63 - 13W75,1862928 - 1839632
,AUDI,"A3 1.8 ,  A4 1.8  SEDAN,  A4 1.8  TURBO",,,ENERJET,11W63 - 13W75,1862928 - 1839632
,AUDI,"A6, A8, A8W12, ",,,CAPSA,15MBI,1497596
,AUDI,"Q5, Q7, R8, S4",,,CAPSA,15MBI,1497596
,AUDI,"A3 1.8  TURBO,  A4 2.8 , A4 , A6 2.8",,,CAPSA,13WI,140962X
,AUDI,"A3 1.8 ,  A4 1.8  SEDAN,  A4 1.8  TURBO",,,CAPSA,13WI,140962X
,AUDI,"A3 2.0L DIESEL, A3 3.2L ",,,CAPSA,13WI,140962X
,AUDI,"A4 3.2L, A5 QUATTRO",,,CAPSA,15MBI,1497596
